Consumer complaint narrative,Product_clean
"I started keeping a log of phone calls on XXXX XXXX, 2015 and this company ( Midland Credit XXXX ) has called XXXX time up to XXXX XXXX. Calling repeatedly starting as early XXXX. Calling repeatedly within an hours time. When you answer the phone they do not always speak. They have repeatedly been asked not to call and also written notice when they sent a collection letter as the debit is over 13 years old and was paid in a debit consolidation over 8 years ago. When they have called while I was at work others who have answered also requested them not to call. I do have the dates and times called and wish them to stop calling. They continue and I need assistance with this please.",Debt collection
"I did not sign, endorse, authorize and or consent to any contract or applications that created any inquiries with the listed corporation, agency and or company. Moreover, I have not applied for, neither received any services or credit with ( "" GC Services '' ). I have no accounts and/or contract with ( "" GC Services '' ), nor do I wish to contract with you. I do not authorize or consent to the release, transferring, selling, intrusion, data sharing, etc., of my private and/or personal identifiable information. This includes all file ( s ), contract ( s ) and or information containing the name ( s ) "" XXXX XXXX XXXX, including but not limited to addresses, email address, social security number, credit card information, phone numbers, etc. in any variation, spelling or derivative. I do not consent and/or authorize the disclosure, publicizing or revealing of any information pertaining to me to any third party entities ; data broker services, direct marketing services, directory services, sponsors and entities in which ( "" GC Services '' ), is acting as an agent ( s ), licensee, joint venturer, publisher and or any other services that are affiliated with ( "" GC Services '' ). Further, there being no permissible purpose to obtain my Consumer Credit file, I request the unauthorized inquiry be removed from my Consumer Report immediately and a copy of such deletion mailed to me. This is an attempt to correct your records and any information obtained shall be used for that purpose.",Debt collection
"I went to XXXX in XXXX TX, in XXXX XXXX 2015 ; and apply for credit to buy furniture there, I qualify for {$6500.00} I spend {$2100.00} for a sofa and love sit and XXXX for insurance for that furniture, I also ordered a chair that I dont received yet. In XXXX XXXX I receive the card with the statement that show that I owe XXXX in the credit card the furniture get my full credit not the amount that I spend there.",Other
"On  XX/XX/XXXX , I sent a letter to Navient regarding the late payments that they are reporting for my student loans. In this letter I requested documentation that would prove that my loans were not in forebearance during that time, and as of  XX/XX/XXXX  I have not gotten a response from Navient regarding this matter.
On  XX/XX/XXXX , I submitted an online dispute with  XXXX ,  XXXX , and  XXXX  regarding the inaccuracy of late payments to Navient in  XXXX  and the status was not changed.
The second online dispute with the  XXXX  credit reporting agencies was submitted in  XX/XX/XXXX .
On  XX/XX/XXXX , I submitted yet another online dispute regarding this same matter, and have yet to get any type of response from NAVIENT.
If they ca n't furnish documentation that states that I was indeed late on payments then I feel that the reporting should be updated to current for the duration of the loan origination.
Thank you in advance for helping me in this matter.
  XXXX   XXXX",Credit reporting
"An apartment company filed a invalid debit with Hunter Warfield Collection agency. I had filed a notice to dispute and also contacted the apartment company and an attorney. The leasing company, XXXX XXXX XXXX in XXXX XXXX chose to ignore the letter from my attorney stating the debt was invalid and discontinuing collection activities. About a 4 days after the letter from my attorney was writtent to both the collections agency and the leasing company an old aquantance of mines PARENTS recoevef automated dialings from the collections agency about me. Not only was I embarassed but they had no reason to contact someone I knew years ago parents. When I asked them to stop they basically told me that I needed to pay my debt I told them to talk to my attorney and all collection contact needed to stop and they told me no, only for a week they would stop and then they would start again.",Debt collection
"I originally borrowed $ XXXX to pay for my XXXX degree at XXXX University. I have made payments in the amount of $ XXXX but none of the payments have reflected in my principle balance. I had applied for a loan consolidation to see if I qualified for a lower monthly payment but I never approved the consolidation, I was waiting to see if the repayment options would be beneficial but they are not. Without approving the loan I know owe $ XXXX which is almost double my loan amount. The new terms of the loan call for me to make $ XXXX monthly payments for 30 years. That 's an insane amount of $ XXXX on a loan of $ XXXX that I 've already paid $ XXXX on. How do they get away with charging me 6 times my original loan amount?",Student loan
was notified of a collection added to my transunion report from a company called XXXX XXXX XXXX XXXX XX/XX/XXXX for a XXXX XXXX XXXX account. This is from XXXX and was filed and XXXX under a chapter XXXX bankruptcy filed in XX/XX/XXXX discharged in XXXX I tried to dispute on transunion and it will not accept my dispute This is illegal and in violation of the bankruptcy discharge. it is also in violation of the 7 year reporting period I demand it be removed or I will request sanctions thru the bankruptcy court for these viloations,Credit reporting
"I have had multiple issue 's with Nationstar Mortgage. My new and most current issue is my credit report. I sold my house almost 4 months ago. XXXX XXXX 2015. I recently applied for credit for my next home, only to find my credit report shows the whole outstanding balance from my previous home. They never updated/turned that information in. This has brought on additional headaches.",Mortgage
I 'm unable to submit my dispute with Experian directly after many attempts I have 2 collection accounts reporting on my credit file that i have no knowledge of and I was not given a DV for any of these accounts I have no knowledge of these accounts XXXX XXXX XXXX XXXX XXXX,Credit reporting
"I sent two Validation of Debt certified letters to Receivable Performance. They have never responded to my request. Furthermore, the conducted credit inquires without authorization bt me either in written or oral form.",Debt collection
"I had a loan through XXXX that was sold ( immediately, I was told ) to Wells Fargo. The mortgage was closed in XXXX 2008. It was a 15 mortgage with early payments ( 26 payments per year ). This meant that the loan would be paid off in 11.2 years. I have never missed a payment. At about 18 or 20 months from the payoff date, I realized that the balance was wrong. I spoke to someone at Wells Fargo and he recalculated the amount that should remain on the loan. He said that the balance should be approximately {$60000.00} less than was shown on my statement. I was told that the amount that I paid was not correctly applied to the loan amount and did n't take my early payments into account. As there were two banks involved, I was tossed back and forth between them about 5 times without making any progress.",Mortgage
"I received a payday loan from West River Cash for the amount of {$350.00} and after 1 payment of {$120.00} and another 3 for {$100.00} that the principal only went down to {$340.00}. The representative informed me to pay in full it would be over {$400.00} after paying them {$430.00}. They have me on an 18 month repayment cycle of {$100.00} a paycheck. The representative could n't answer why I would be paying roughly {$1800.00} for a {$350.00} loan. The representative, XXXX, said I have been making the minimum payments whereas the {$120.00} payment only affected the principal by XXXX cents. They only thing XXXX mentioned to me was speaking to an account manager and I did n't want to receive any abuse or harassment of any kind by an account manager.",Other
"This complaint address two issues I had for the same account at the same bank. I opened a Burial Reserve CD for my mother with XXXX XXXX  on XX/XX/XXXX. I am a her legal guardian & paperwork was provided to both banks, several times. It was for 5 years, which was to mature on XX/XX/XXXX. The account number was XXXX. In the meantime, BB & T bought XXXX XXXX  & the CD was assigned another account number XXXX. When the CD came due last XXXX, the rate they were offering was less than desirable & they would not match a rate I could get elsewhere, at that time I asked to close the CD. They refused to close it unless I had a representative from the funeral home ( of which they had no interest in the account until she dies ) come in to close the account. The funeral home was not an authorized signer & were not even aware of the account. Due to the time restraint with the grace period, I was forced to leave the CD with BB & T. I was then told to take the new signature card to my mother to sign, that it had to have her  signature, even though they had the Guardianship papers, which I provided yet again. I then recieved in the mail a modification notice with the new terms & rate. The second issue came with an Abandoned Property Notice I received on XX/XX/XXXX. It stated that since there had been no client related activity within the past several years, that the CD would be escheated to the state on XX/XX/XXXX. Even though I had been to the branch at least twice during the grace/renewal period, in person, & had to make a special trip to where my mother is in a nursing home to have her sign the new signature card, then returned to the branch, in person, to drop it off. I did sign & date the escheat notice to claim the property & returned it ( no they couldn't even provide a return envelope ) by mail on XX/XX/XXXX but surely, my account isn't the only one that may be escheated to the state in error.",Bank / Checking / Savings
"I have had automatic mortgage payments set up on my account for years with XXXX/XXXX/IMPAC Mortgage. I have not cancelled them nor has my bank account information changed nor has my account contained insufficient funds at any time. Yet XXXX/XXXX/IMPAC has not drafted payments for multiple months now due to unknown reasons starting in XX/XX/XXXX. 

I was first made aware of the problem after receiving a condescending letter in the mail in XX/XX/XXXX scolding me for not paying my mortgage - no voicemails or emails were received prior to this. I called XXXX 's customer service on XX/XX/XXXX, made all payments over the phone that I was advised to in order to bring my account current. I was told automatic payments were set up correctly and would resume. I also asked if there had been any negative reports made to credit bureaus as a result of their error and was told they would look into it and make sure it was rectified if there had been. 

Automatic payments did not resume as I was told, and I again received a letter on XX/XX/XXXX saying my account was past due. I AGAIN called, sat on hold, and made payments over the phone that I was told were necessary to bring my account current and again I was told that automatic payments would now resume this time. I was also told that there has been negative reports from XXXX   to credit bureaus regarding my account but customer service was unable to do anything about it on the phone. I asked to speak to a manager and the manager told me I would have to open a support request to fix this. 

I opened a case on XX/XX/XXXX and still have not gotten a response. I contacted the company again on XX/XX/XXXX without a response. Meanwhile my credit score has plummeted from XXXX to XXXX all due to this companies negligence and no fault of my own. The amount of time and effort I am being forced to spend to rectify this company 's errors is not acceptable.",Credit reporting
"Back in XXXX I stopped paying my mortgage because of a medical condition caused by my XXXX, which caused me to XXXX and not remember to pay bills. I missed my XXXX payment, paid in XXXX, and stopped paying through XXXX of XXXX. I received a letter from XXXX in XXXX and my husband opened it and made me call to make arrangements to pay the months that were missed. The letter stated that if they did n't hear from me within 30 days that it would go into pre-foreclosure, and even though I called within the 30 day window, the told me that it had been sent the day before and they would n't accept any payments. At that point I had all of the money in my account to pay the back balance in full ( over XXXX in my checking account ) but they refused to accept my payment. I was told that someone would be contacting me to make arrangements to stop the foreclosure proceedings. In XXXX I was contacted and they told me that I could resume making normal payments again but only in the amount due and only by check through the mail, so from XXXX through XXXX I did that, and starting in XXXX my husband took over the finances to make sure that everything was paid on time. I signed a Loan Modification Agreement, and the person that I talked to on the phone said that there was nothing they could do about reporting the late payments from XXXX but that once the paperwork was signed, that the foreclosure proceedings would be removed. From XXXX XXXX until we sold the house in XXXX of XXXX we never missed another payment, and no foreclosure paperwork was ever filed with the court. When we went to get a approval to buy another home though, they were reporting my payments late until XXXX of XXXX, so we had to wait at least until XXXX of XXXX before we could get approved. I sent the credit bureau 's paper work with bank statements that showed that each one of our checks cleared from XXXX XXXX to XXXX XXXX, but XXXX XXXX came back and said that they were reporting accurately. With that being said, we tried again in XXXX, and now the credit reports show XXXX lenders XXXX XXXX and The Money Source both reporting during overlapping times, and now it shows up as a foreclosure from XXXX XXXX through XXXX XXXX. We could n't do anything at that point, so we tried again in XXXX of XXXX and now the foreclosure is reporting through XXXX XXXX. XXXX is reporting the foreclosure and The Money Source is reporting late through that whole period at the same time. We first had to prove that it was n't a foreclosure and that there was only one company servicing the loan, they are both the same company and when we did the modification they changed who serviced it from XXXX to The Money Source and every time we dispute it, the issue gets worse.",Mortgage
The debt collector continuously calls multiple times a day.,Debt collection
"I have XXXX student loans with Navient/XXXX. I have just heard of the lawsuit that has been brought against this company. I am not sure what is going on with my loans, but I need help. I graduated in XX/XX/XXXX. I do know that I reconsolidated once and then at one time my loans were frozen ( for one semester ) while I completed XXXX in XX/XX/XXXX. However, it appears that the amount I have paid, the majority goes to interest. As you can see from the XXXX attached statements of my account, the current balances are n't much less than the original principal amounts of the loans which were issued in XX/XX/XXXX. I am not sure what 's going on. I have been seeing money go out on a monthly basis and no progress made, which is usually around {$260.00} per month. The majority of this payment goes to interest, leaving the principal almost untouched. Navient does not give the option to pay more than what they request on their website, and I feel that something is wrong with my account and how Navient/XXXX has handled it. I question it further now, seeing as the lawsuit against them has just come to light with the complaint of very similar issues. I have been told by Navient that these loans were to be paid off in 10 years. There 's no way. I graduated 9 years ago and the payoff date listed on the account is XX/XX/XXXX??? Somehow I still have 8 more years?? Something does n't add up here. I need help. There is no way that with the payments I 've made, and the interest they 've charged, that these loans will be paid off by that time. I have made almost no progress on these loans and have been charged so much interest, my balance is just now getting below the principal amounts. Please help me. I feel that this company is robbing myself and XXXX others blind.",Student loan
"Around late XXXX 2017 I contacted Chase Bank to notify them of their shady business practices and failure to properly and professionally disclose information in reguads to their hardship program. A few months ago I took part in the program due to legal issues with my employer at that time and had not gotten paid still to this date. I spoke with Chase Bank thinking they were actually here to help and it all turned out to be a lie that has affected my life in many ways and I 'm still struggling to recover from the pain and disappointments they 've caused. I before Chase bank destroyed my credit score I had a XXXX fico 8 score. Chase Bank has maliciously allowed late payments to occur although I was enrolled in their program which caused me to fall in serious delinquency status for this account, which dropped me all the way down to a XXXX Fico. The day I enrolled in the program I specifically asked Chase Bank was there anything else that I needed to do to prevent late payments because I take pride in having 100 % on time payments as I 've had for the past 8 years and I was assured that I was good to go and everything has been taken care of and because of being on automatic payments there would be no father action on my part. Chase bank and enrolled me into a program that did more harm than effectiveness, I find it very offensive for a company that claim to hold such high standards to treat a customer in such a way as I 've been treated, I 've been calling about this month after month and they just do n't care. All I 'm requesting is that all late payments be removed from my account immediately. And I want nothing else to do this company ever in my life again I have been spreading the word and none of my family members and coworkers will apply for Chase Bank because I 'm very close to them and they have witnessed what I 've went through first hand it 's just heartbreaking. i 've even written a letter to the CEO of chase bank and it was such a disappointment I cried for the rest of the day, I was treated like a number, I was treated like I meant nothing, I was treated like I did n't exist and that everything has happened because of me, and for that I will forever share my experience about chase bank.",Credit reporting
"On XX/XX/2016 I submitted a request to State Farm Bank ( SFB ) to refund fees charged to my mortgage balance in conjunction with a modification request ; the modification request ( deed in lieu ) was denied. I have been trying to sell my ( now non-primary due to a relocation ) residential property for 10 months when I submitted the request. SFB did not make it known that I would be charged fees for the CONSIDERATION of the modification during the modification application request process. Merely to be considered SFB charged me {$420.00} for a BPO Appraisal, a title search fee and a credit report fee. I feel that this process is misleading and applies even more of a hardship on borrowers who are seeking modification due to financial stress in the first place. Not only do I have the original mortgage balance but SFB has applied MORE due in fees and interest due to this. I am sure there are many other borrowers in my situation and if not many currently, there will be. SFB as of XX/XX/2016 still not responded to my ongoing requests for fee & interest refund. The last correspondence received was on XX/XX/2016 stating that management would review & send me a letter with their explanation.",Mortgage
"Today on XXXX/XXXX/XXXX I called Transunion, since there was a 35 point drop in my credit score. My Transunion report was missing tons of information. When I asked why my credit scorXXXX at Transunion had dropped 35 points, he said he had no idea as well. I think proceed to ask the representative what my credit score was. He said because XXXX XXXX was a third party site ... my credit score was a different with Transunion. I then procced to ask him if he could tell me what it was, he said that he could not give me the number over the phone, then put my on hold. Then came back from hold and told me if I wanted to pay {$9.00} he could give my credit score and that he would n't give me the number because my credit score apparently only belongs to Transunion and unless I pay the {$9.00}, I would not be able to get my score.",Credit reporting
"I called XXXX and spoke with XXXX XXXX, I advised him of the hard inquiries on my credit report that was due to me being a victim of their misreporting inquiries. The rep stated that I was not a victim of their reporting. Therefore, he remove the inquiries. I asked him why since it was a mistake on XXXX part. He stated he can not remove them.",Credit reporting
"XXXX XXXX XXXX XXXX has put many debts ( 8 on XXXX alone ) on all my credit reports. In XXXX, I sent a request for a verification of debt and XXXX XXXX XXXX XXXX did not respond and continues to report multiple errors to all credit reporting agencies. Per FCRA, since they did not verify they debt, they should not be reporting errors to the credit reporting agencies.",Credit reporting
"PNC Bank has a process for removing the PMI ( Private Mortgage Insurance ) from their customer 's mortgage that entails them sending a form by mail for the customer to sign and return along with a payment of {$500.00} to the bank to have the house appraised by a company of their choosing. My complaint with this system and the experience that I have had with them regarding this request are twofold : 1. The going rate for a single family home appraisal in my area by local appraisers is {$370.00}, {$120.00} less than the rate that PNC charges.
2. I requested the form to terminate my PMI from PNC bank on XX/XX/XXXX. As of today, XX/XX/XXXX, I have still not received the form. I called PNC 's customer service and they informed me that the form was sent out to me by mail on XX/XX/XXXX. I called them on XX/XX/XXXX, worried that it had not arrived yet and asked if they could electronically send or fax the form to me and they said that they could not. Tomorrow I go on vacation for 2 weeks, so I will be paying an extra month of PMI, simply because the bank could not accommodate me in a professional, timely and reasonable manner. 

I feel that this is disrespectful to the customer and that the delay of sending such a form only benefits the bank, since removal of PMI affects the amount of fees that they receive on a monthly basis. How should it take two weeks to receive a form in the mail? Furthermore, we live in the 21st century, where everything is digital. Why should n't a customer be able to download and print such a form from PNC 's website?",Mortgage
"My mortgage was transferred from Ocwen to XXXX XXXX on XXXX XXXX, 2016. The escrow amount at that time should have been XXXX. The escrow amount at that time was XXXX, and that amount was transferred to XXXX. Numerous phone calls has not yielded a return of the funds. Your assistance is needed to remedy this situation.",Mortgage
The creditor is from TCS Thunderbird Collection and they were on my XXXX account since I owed the debt since 2013 but then XXXX XXXX fought them to get it off and they came off my credit but then they came back on under my XXXX report which is fraud. You ca n't resubmit a debt that has already come off a report so I need you to investigate them and let them know they need to come off. XXXX XXXX will continue to fight them until they come off my reports and they are direct violation of the law.,Credit reporting
I have been trying to get a modification and keep getting the runaround. Now I have a foreclosure sale for next month.,Mortgage
"I have requested my credit report several times from all XXXX major credit bureaus, however, I have only received responses from XXXX. I have sent in all required documentation at least 3 times but I have not received any response. I understand that I am entitled to receive at least XXXX free annual credit report and that I am also entitled to receive a credit report anytime I am declined for credit and also when I add a security alert to my credit report. I have cited all XXXX reasons to XXXX and Equifax and I still have not received my credit report.",Credit reporting
Today one of the representatives called me while I was at work and was very rude on the phone. I let him know that the whole situation will have to wait because I 'm at work and he told me it could n't because it affects my credit. After that he started talking over me as I was speaking to him explaining I ca n't continue on trying to figure out this how to fix the situation. Things escalated and I ended up having to hang up on him because he was still rude to me after I explained to him he is not supposed to be talking to anyone like that especially as someone who works in an office. I feel harassed and he was being manipulative and I do n't appreciate that. On top of that I also explain to him about how my medical insurance already paid out what they could and sent an explanation of benefits to the hospital and if he needs to talk to my medical insurance than he should. He wanted me to get them on the phone with him in a 3-way call which I did n't have the time for. He was very rude to me throughout the whole conversation.,Debt collection
An unauthorized hard credit Inquiry was made by XXXX on XX/XX/XXXX and reflected on my Trans Union credit report. I asked XXXX in writing to stop making unauthorized credit inquiries in my name ( e.g. XX/XX/XXXX and XX/XX/XXXX ) but appears they continue to do so. I even filed an Initial Security Alert on XX/XX/XXXX valid for 90 days and was shocked XXXX did an inquiry again. I need XXXX to stop doing this because it effects my credit score.,Credit reporting
"I have a {$15.00} collection on my credit report from XXXX XXXX regarding XXXX XXXXXXXX XXXX, that is erroneous. I have contacted XXXX XXXXXXXX, XXXX XXXX, XXXX, Transunion company. both XXXX XXXXXXXX and XXXX say they show I owe them nothing. I can't get anyone to remove this.",Credit reporting
"My complaint is about Equifax. 
1 ) Equifax is making a lot of money with my information, their executives make millions but they could not even do what they are supposed to do, which is to keep my information safe. I am complaining that the company did not use appropriate security. My guess is that they did not want to spend the money to get good protection. 
2 ) Now that my and millions of other 's data has been compromised they did not contact affected people right away but waited for weeks. When I tried to place a fraud alert the website was down. When trying to log in to XXXX, which I subscribe to, I get an empty page. When calling them I am on the phone so long that the battery runs empty and I have to switch to another phone. 
That is not acceptable. If the company can not do the job it is supposed to do it should be shut down.",Credit reporting
"XXXX XXXX repeatedly calls me and my family members from a blocked number from XXXX on. This company has disclosed my debt to a family member and told them that I need to get a lawyer or else. Ive contacted XXXX XXXX and told them that I was not working for months at a time due to XXXX XXXX and needed to make arrangements.They called me blocked I told the agent that they are allowed to call blocked and he told me they can do as they please with an attitude. There is no reason why they should be calling blocked, harassing my family And, disclosing my debt with them.",Debt collection
"According to the Fair Credit Reporting Act, Section 609 a. 1. A., you are required by federal law to verify through the physical verification of the original signed consumer contract any and all accounts you post on a credit report. Otherwise, anyone paying for your reporting services could fax, mail or email in a fraudulent account. 

I demand to see Verifiable Proof an original Consumer Contract with my Signature on it for any inquiry you have on file. Your failure to positively verify these accounts has hurt my ability to obtain credit. Under the FCRA, unverified accounts must be removed and if you are unable to provide me a copy of verifiable proof, you must remove the accounts listed below. 
Experian has not complied with any of my request I ask that my inquries that I list be verified with my signature or be deleted. 

XXXX Date of request XX/XX/XXXX XXXX XXXX XXXX  Date of request XX/XX/XXXX XXXX XXXX XXXX Date of request XX/XX/XXXX XXXX XXXX XXXX Date of request XX/XX/XXXX XXXX XXXX Date of request XX/XX/XXXX XXXX/XXXX XXXX XXXX Date of request XX/XX/XXXX XXXX XXXX XXXX Date of request XX/XX/XXXX XXXX XXXX Date of request XX/XX/XXXX XXXX Date of request XX/XX/XXXX XXXX  Date of request XX/XX/XXXX XXXX XXXX XXXX Date of request XX/XX/XXXX XXXX XXXX Date of request XX/XX/XXXX Account name XXXX XXXX XXXX XX/XX/XXXX XXXX XX/XX/XXXX Account name XXXX XXXX XXXX  XX/XX/XXXX XXXX XXXX XXXX XX/XX/XXXX XX/XX/XXXX XXXX XXXX/XXXX XXXX XXXX XX/XX/XXXX XXXX XXXX XXXX XX/XX/XXXX XXXX/XXXX XXXX XXXX XX/XX/XXXX XXXX XXXX XXXX XXXX XX/XX/XXXX XXXX XXXX XXXX XX/XX/XXXX XXXX XXXX XXXX XX/XX/XXXX XXXX XXXX/XXXX XXXX XX/XX/XXXX",Credit reporting
"Greetings, Myself and my spouse both Military XXXX XXXX members. 

Company XXXX XXXX, lender reached out to us for re-financing in XX/XX/XXXX. We have provided certain information but never authorized to run a credit report. 

Credit report was obtained without our authorization. 
Credit report was obtained individually on XX/XX/XXXX ( individually ) Credit report was obtained jointly on XX/XX/XXXX ( jointly ) Mortgage was obtained from XXXX XXXX ( XXXX XXXX ) subsequently. 
I requested XXXX XXXX to remove one of the inquiry, but they refused by justifying their pushing and unethical practices. Bottom line is reports were obtained before authorizations.were given. 

This is not about what may or may not impact our credit report, its about obtaining credit report without authorization and without letting us know as consumers. 

even though I did my best to resolve this situation by reaching out to them on XX/XX/XXXX with Mr. XXXX XXXX. 

XXXX XXXX XXXX XXXX  Executive Office | Resolution Advocate Direct : ( XXXX ) XXXX Fax : ( XXXX ) XXXX Toll Free : ( XXXX ) XXXX Ext. XXXX XXXX Mr. XXXX XXXX refuses to remove my request of XX/XX/XXXX inquiry, furthermore justified that this inquiry was necessary by XXXX XXXX in order to obtain VA re-financing. ( one day apart ) Mr. XXXX XXXX also explained that he did his due diligence and based on the investigation he conducted their company has proper authorizations to pull our credit report. 


Please see attached letter and my correspondence with XXXX XXXX  I am not the only consumer on whom XXXX XXXX used their predatory practices. 

XXXX XXXX XXXX XXXX XXXX XXXX XXXX",Credit reporting
"I was a loyal Chase credit card customer for almost a decade. In XX/XX/2016 I left my job and it took me two months to find a new one. Chase has been repeatedly calling me - I find several messages on my caller ID every day. 
When I landed a new job, I spoke with Chase on XX/XX/2016 and informed them I was starting a new position and I would be able to catch up XX/XX/2016. The person on the phone said he 'd note this, and the calls would stop. 
The calls did not stop : on XX/XX/2016 I answered the phone and was again told I was late. When I asked the person on the phone if there was a record of my previous conversation, she said there was but "" company policy is to call every five to seven days to see if anything has changed. '' This is absurd : I informed them when I could pay them, there 's no reason for them to be constantly calling me when the date has not passed yet. 
Chase needs to follow through on what they promise : if I 'm told the calls are going to stop, they need to stop until the date payment was promised has passed.",Credit / Prepaid card
"XXXX/XXXX/2017 - called Navient to request forbearance, due to the fact that I do not have money to pay and I am past due by 118 days. They stated that I would have to pay {$100.00} ( {$50.00} for each loan ) to put my loans in forbearance, which I can not afford, because I do not have the income to do so at the moment. I was questioned about how I was paying other bills, and asked if I had someone else I could borrow from to place the loans in forbearance. I explained that I do not have anyone I can borrow from. Navient told me there was nothing they could do to help me until I had money to place my loans in forbearance. I also asked if I would have to pay an additional fee to keep my monthly loans in forbearance. Navient said yes, I would have to pay another {$50.00} per loan to keep in forbearance, at the end of each month. I told Navient I would have to call back, because I do not have the funds at this time. The support agent said I could schedule a payment for up to two weeks in advance. I explained that I would still not be able to make any payments in two weeks. I will not be able to make any payments for at least 3 months with my current income status. Navient support agent said she would note it in my account, but the collection calls and credit reporting would continue until I was able to make the minimum payment of {$50.00} per loan to place the loans in forbearance. I asked if there was any way to place my payments on an income driven repayment plan, and the Naviant service agent said no and that I was on the lowest payment plan of {$140.00} per month.",Student loan
"Because I view CFPB as a neutral government entity, I feel confident that keeping you updated to my plight is the right thing to do in my complaint process. I have submitted documents several time to Ocwen for a modification over the past month. My previous experience over the past years of dealing with this company is the issue of them stating documents are missing or information is missing. This is the same thing I have been told several times including two days ago, as the reason my request has not been processed. As a record I sent the documents through several different well established organizations proving the documents were sent and what was sent. Most recently I am told my IRS form and section XXXX and XXXX are missing here are the documents. I do n't understand why Ocwen is refusing to work with me.",Mortgage
Our residential mortgage balance ( with no extra principal payments ) has reached the 78 % threshold as outlined in HPA. Bank of America is refusing to drop our PMI claiming that New York Law has a 75 % threshold. The HPA supercedes New York Law as far as I can tell.,Mortgage
"Creditor is reporting accounts that are invalid and unverified. XXXX and XXXX  have investigated this account and they concluded the account was not matching my records of being assigned to me. I would like proof these accounts were disputed per FCRA/ FDCPA. 
This is causing me anguish and its slandering my good name. Please block this account from my report so I can breathe again. 
Account Name : XXXX XXXX XXXX Account Number : XXXX Date : XX/XX/2015 Amount : {$0.00}",Debt collection
"I first received a letter from Midland Credit Management ( MCM ) on XXXX/XXXX/2014 offering to settle an alleged debt originally owed to XXXX Bank at a 40 % discount. I responded with a request for validation of the debt, both that a debt is owed AND that the debt is owed by me. MCM failed to provide the requested validation. 

MCM did, however, exactly XXXX months later send me basically the same letter with the same offer. As they had failed to provide validation the XXXX time, and as the alleged debt would have been time-barred for legal action anyway, I replied again asking MCM to either prove the debt or cease contact. 

Several weeks later, on XXXX/XXXX/2014 I received yet another letter from MCM. Finally, an acknowledgement of my dispute. The letter makes no reference, however, to the XXXX prior attempts I made to validate the debt, just to the dispute I had filed with XXXX XXXX, XXXX, and XXXX ( CRAs ) explaining how they were continuing to report the debt despite MCM having failed repeatedly to validate. 

In this letter, they only blamed me and the CRAs, instead of addressing the issue at hand. They stated the CRAs did not provide them with specifics of why I was disputing the alleged debt. They did, and I had already provided them a list of reasons. The CRAs are reporting the account based on information MCM provides. For them to continue displaying knowingly false information, or information not permitted to be included in my file, is a FCRA and FDCPA violation. Likewise, for MCM to continue verifying this information to the credit reporting agencies after they have failed multiple times to provide validation is also a violation of the FCRA and FDCPA. They also, in the letter, ask ME to prove I do not owe this debt, either with receipts of a police report proving fraud. As with the reporting to and by the credit agencies, the burden of proof is not on ME. I am not claiming fraud nor identity theft. And I can not prove I paid a debt I do even know exists or is mine. 

On XXXX/XXXX/2014 I received yet another letter from MCM. This time the letter includes : an open date of the alleged original XXXX account, the alleged balance due acquired by MCM, and a partial social security number. Please tell me that is not the best they can do as far as providing validation of this debt, as they have proven nothing? 

On XXXX/XXXX/2014 I received XXXX letters from MCM. 

The first asked for the contact information of my attorney. I do not have an attorney and do not need an attorney at this time. I have attempted several times to have documentation provided that this debt exists, that I owe it, and that MCM is legally entitled to collect it. They have failed to provide requested documentation, yet they continue to report the account to the credit reporting agencies inaccurately and continue to make efforts to collect this debt. The debt is time-barred from legal action, and any threat of legal action ( or actual legal action ) would be a violation of the FDCPA. What I wrote to them was that I was filing complaints with the BBB and CFPB, and if those complaints failed to resolve the matter, I would contact a consumer attorney to see what my right are. 

The second, as MCM has done previously, stated that they do not have enough information to investigate my complaint. The letter has my name, was sent to my current address, and has MCM 's account identifier. And I have provided all the information previously. And they both update and review my credit files monthly, so they clearly have all the information they need.",Debt collection
"Today, XXXX XXXX, 2017, I received a Netspend prepaid, direct deposit XXXX that I did not request. I never visited their website, never spoke with then on the phone and never sent postal mail, yet, I received a card in my name today.",Credit / Prepaid card
"After I have provided documentation and repeated request to furnish me with documentation of verification of signatures on contracts or paperwork, the credit bureau has ignored my request to provide me with documents that their company has on file that were used to verify accounts that I disputed. Being as though they have gone past the 30 days allowed, and that they did not provide me with my contracts with my signature, they are required to promptly delete, under XXXX XXXX XXXX a ) ( XXXX XXXX ( XXXX XXXX and XXXX XXXX XXXX a ) ( XXXX ).",Credit reporting
